id,short_name,name,lat centre,lon centre,lwl_data,lwe_data,lswt_data,lic_data,lwlr_data
300013258,HYLA00013258,None,55.4042,68.7292,False,False,True,True,True
300013263,HYLA00013263,None,55.3792,30.0292,False,False,True,True,True
300013283,HYLA00013283,None,55.1875,67.9708,False,False,True,True,True
300013306,HYLA00013306,None,54.9375,26.8458,False,False,True,True,True
300013313,HYLA00013313,None,54.9375,62.2542,False,False,True,True,True
300013361,HYLA00013361,None,54.5042,54.0625,False,False,True,True,True
300013383,HYLA00013383,Selenter See,54.3042,10.4542,False,False,True,True,True
300013431,HYLA00013431,Kummerower See,53.8042,12.8458,False,False,True,True,True
300013443,HYLA00013443,None,53.8125,-7.3125,False,False,True,True,True
300013454,HYLA00013454,None,53.7208,11.4625,False,False,True,True,True
300013471,HYLA00013471,None,53.5292,78.5542,False,False,True,True,True
300013475,HYLA00013475,None,53.5042,12.5792,False,False,True,True,True
300013516,HYLA00013516,None,53.1958,63.2375,False,False,True,True,True
300013521,HYLA00013521,None,53.0125,45.3292,False,False,True,True,True
300013529,HYLA00013529,None,53.0319,68.2319,False,False,True,True,True
300013551,HYLA00013551,None,52.7958,108.1347,False,False,True,True,True
300013575,HYLA00013575,None,52.6875,65.8375,False,False,True,True,True
300013582,HYLA00013582,None,52.6208,68.1792,False,False,True,True,True
300013595,HYLA00013595,None,52.5208,8.3375,False,False,True,True,True
300013597,HYLA00013597,None,52.5125,62.2375,False,False,True,True,True
300013601,HYLA00013601,Steinhuder Meer,52.4708,9.3292,False,False,True,True,True
300013610,HYLA00013610,None,52.3792,96.4625,False,False,True,True,True
300013635,HYLA00013635,None,52.1625,112.7375,False,False,True,True,True
300013647,HYLA00013647,None,51.9458,75.7208,False,False,True,True,True
300013663,HYLA00013663,None,51.7958,80.8708,False,False,True,True,True
300013668,HYLA00013668,None,51.6625,24.3042,False,False,True,True,True
300013676,HYLA00013676,None,51.5208,23.7375,False,False,True,True,True
300013705,HYLA00013705,None,51.1125,81.8625,False,False,True,True,True
300013715,HYLA00013715,None,50.8875,74.0292,False,False,True,True,True
300013746,HYLA00013746,None,50.4625,17.1208,False,False,True,True,True
300013751,HYLA00013751,None,50.4958,69.6375,False,False,True,True,True
300013760,HYLA00013760,None,50.4458,69.4042,False,False,True,True,True
300013762,HYLA00013762,None,50.3403,89.8208,False,False,True,True,True
300013767,HYLA00013767,None,50.2958,26.5792,False,False,True,True,True
300013778,HYLA00013778,None,50.0958,73.0042,False,False,True,True,True
300013782,HYLA00013782,None,50.0819,95.1042,False,False,True,True,True
300013821,HYLA00013821,None,49.5708,36.5125,False,False,True,True,True
300013919,HYLA00013919,None,48.6431,114.4236,False,False,True,True,True
300013921,HYLA00013921,None,48.6875,14.0875,False,False,True,True,True
300013927,HYLA00013927,None,48.6042,26.9792,False,False,True,True,True
300013943,HYLA00013943,Har,48.3431,96.1847,False,False,True,True,True
300013962,HYLA00013962,None,47.9875,11.1292,False,False,True,True,True
300013966,HYLA00013966,Starnberger See,47.9014,11.3069,False,False,True,True,True
300013969,HYLA00013969,None,47.8208,13.5292,False,False,True,True,True
300013992,HYLA00013992,None,47.5875,11.3458,False,False,True,True,True
300013995,HYLA00013995,None,47.5375,33.6292,False,False,True,True,True
300014041,HYLA00014041,None,46.8125,125.1208,False,False,True,True,True
300014052,HYLA00014052,None,46.6875,7.7208,False,False,True,True,True
300014063,HYLA00014063,None,46.6042,143.2542,False,False,True,True,True
300014150,HYLA00014150,None,45.9042,37.9625,False,False,True,True,True
300014153,HYLA00014153,None,45.9125,124.4708,False,False,True,True,True
300014167,HYLA00014167,None,45.7458,5.8625,False,False,True,True,True
300014180,HYLA00014180,None,45.6792,41.6875,False,False,True,True,True
300014185,HYLA00014185,Iseo,45.7375,10.0708,True,False,True,True,True
300014249,HYLA00014249,None,45.0625,41.7625,False,False,True,True,True
300014300,HYLA00014300,None,44.2292,42.2625,False,False,True,True,True
300014302,HYLA00014302,None,44.2542,28.5958,False,False,True,True,True
300014305,HYLA00014305,None,44.1542,27.6375,False,False,True,True,True
300014323,HYLA00014323,None,43.7708,51.2042,False,False,True,True,True
300014331,HYLA00014331,None,43.6625,76.5708,False,False,True,True,True
300014333,HYLA00014333,None,43.6625,17.0208,False,False,True,True,True
300014338,HYLA00014338,None,43.6514,144.3458,False,False,True,True,True
300014353,HYLA00014353,Thau,43.4042,3.6181,False,False,True,True,True
300014354,HYLA00014354,None,43.4042,70.6958,False,False,True,True,True
300014357,HYLA00014357,Ch'a-han no-erh,43.4014,114.8903,False,False,True,True,True
300014360,HYLA00014360,None,43.3597,73.9514,False,False,True,True,True
